energy_tev,v6_relative_uncertainty_percent_raw,v6_relative_uncertainty_percent_birge_pdg,pass5_relative_uncertainty_percent,v6_uncertainty_reduction_percent_raw,v6_uncertainty_reduction_percent_birge_pdg
39.81071706,10.26368248,46.97060109,18.97380416,45.90603763,-147.555001
40.42654874,10.3671968,47.44432285,19.19129911,45.97970287,-147.2178802
41.05190671,10.47125152,47.9205177,19.41001284,46.05232048,-146.8855538
41.68693835,10.57584633,48.39918419,19.6299451,46.12391285,-146.5579193
42.33179328,10.68098091,48.88032091,19.85109562,46.19450174,-146.2348771
42.98662347,10.78665497,49.36392649,20.07346417,46.26410829,-145.9163305
43.65158322,10.89286821,49.84999959,20.29705051,46.33275307,-145.6021852
44.32682923,10.99962036,50.3385389,20.5218544,46.40045609,-145.2923499
45.01252062,11.10691112,50.82954314,20.74787562,46.46723681,-144.9867354
45.70881896,11.21474023,51.32301107,20.97511395,46.53311414,-144.6852551
46.41588834,11.32310743,51.81894147,21.20356917,46.59810651,-144.3878248
47.13389536,11.43201244,52.31733315,21.43324108,46.66223183,-144.0943624
47.86300923,11.54145502,52.81818494,21.66412947,46.72550756,-143.804788
48.60340176,11.65143492,53.32149571,21.89623415,46.78795067,-143.5190241
49.35524741,11.76195189,53.82726435,22.12955492,46.84957771,-143.2369948
50.11872336,11.8730057,54.33548977,22.36409159,46.91040476,-142.9586266
50.89400952,11.98459612,54.84617091,22.59984398,46.97044753,-142.6838475
51.68128856,12.09672292,55.35930674,22.83681192,47.02972127,-142.4125878
52.48074602,12.20938589,55.87489625,23.07499522,47.08824089,-142.1447793
53.29257029,12.32258479,56.39293844,23.31439372,47.14602088,-141.8803556
54.11695265,12.43631943,56.91343235,23.55500725,47.20307537,-141.6192521
54.95408739,12.55058959,57.43637703,23.79683566,47.25941816,-141.3614056
55.80417175,12.66539507,57.96177156,24.03987878,47.31506266,-141.1067547
56.66740606,12.78073568,58.48961503,24.28413646,47.37002197,-140.8552395
57.54399373,12.89661122,59.01990655,24.52960855,47.42430888,-140.6068015
58.43414134,13.01302151,59.55264526,24.7762949,47.47793583,-140.3613838
59.33805863,13.12996635,60.08783032,25.02419537,47.53091497,-140.1189306
60.25595861,13.24744557,60.6254609,25.27330983,47.58325816,-139.8793878
61.18805758,13.36545898,61.16553618,25.52363813,47.63497697,-139.6427025
62.13457517,13.48400643,61.70805537,25.77518014,47.68608268,-139.4088229
63.09573445,13.60308773,62.2530177,26.02793574,47.73658631,-139.1776986
64.07176189,13.72270272,62.80042241,26.28190479,47.78649861,-138.9492805
65.06288749,13.84285125,63.35026875,26.53708718,47.83583009,-138.7235205
