cell_id,nhit_bin,predE_bin,selected_events,grid_events,out_of_grid_events,source_masked_events,source_masked_fraction,live_time_days,median_rate_hz,mean_rate_hz,r_opt_deg,sigma_deg,containment_r_opt,B_on,N_off,alpha,max_p_on,on_pixels,off_pixels,off_counts,fiducial_events,edge_diagnostic_events,background_mode,background_method,r_opt_large_warning,r_opt_extreme_warning,background_form
14,"[100,200)","[4.5,4.75)",24781,4890,19891,1287,0.518324607329843,43.47639258630079,0.0,0.006597077461298028,2.060196876525879,1.3039220571517944,0.22273822128772736,256.4117647058824,,,0.0,1340,5016,1022.0,2483,1620,crab_roi_local,dec_sideband,False,False,direct_expectation
15,"[100,200)","[4.75,5.0)",11648,2071,9577,577,0.5558766859344894,43.47639258630079,0.0,0.0031008739868931615,2.222892999649048,1.4068942070007324,0.17484663426876068,134.6615384615385,,,0.0,1560,4184,391.0,1038,664,crab_roi_local,dec_sideband,False,False,direct_expectation
16,"[100,200)",>=5,11712,1857,9855,484,0.5748218527315915,43.47639258630079,0.0,0.003117911756051915,2.2644646167755127,1.433205485343933,0.10501847416162491,119.79120879120875,,,0.0,1624,3932,303.0,842,655,crab_roi_local,dec_sideband,False,False,direct_expectation
17,"[200,300)","[2,3)",3511356,1381469,2129887,118888,0.11789438611383261,43.47639258630079,0.0,0.9347761400344458,0.5577100515365601,0.3529810607433319,0.6482003927230835,8710.000711237552,,,0.0,96,9100,810520.0,1008428,360777,crab_roi_local,dec_sideband,False,False,direct_expectation
18,"[200,300)","[3,3.25)",1555252,548846,1006406,46337,0.11711288198735786,43.47639258630079,0.0,0.4140316337451548,0.5468682050704956,0.34611910581588745,0.702869176864624,3068.2773826458033,,,0.0,88,9100,318899.0,395661,146945,crab_roi_local,dec_sideband,False,False,direct_expectation
19,"[200,300)","[3.25,3.5)",732511,232475,500036,19498,0.11721070033062819,43.47639258630079,0.0,0.19500552069137161,0.72874516248703,0.4612311124801636,0.6853578090667725,2449.3413940256046,,,0.0,164,9100,134369.0,166350,62128,crab_roi_local,dec_sideband,False,False,direct_expectation
20,"[200,300)","[3.5,3.75)",349353,105993,243360,9658,0.1295436864554551,43.47639258630079,0.0,0.09300305888934467,1.0330716371536255,0.6538428068161011,0.6527048945426941,2216.8595883332723,,,0.0,332,9016,59617.0,74554,28256,crab_roi_local,dec_sideband,False,False,direct_expectation
21,"[200,300)","[3.75,4.0)",166678,49690,116988,7199,0.2137787676317743,43.47639258630079,0.0,0.044372207622542785,1.3009943962097168,0.8234142065048218,0.6388174891471863,1604.8057184750735,,,0.0,540,8236,24292.0,33675,13468,crab_roi_local,dec_sideband,False,False,direct_expectation
22,"[200,300)","[4.0,4.25)",69627,19860,49767,3967,0.3111860684028867,43.47639258630079,0.0,0.018535761769008428,1.526131510734558,0.965906023979187,0.5858429074287415,789.8135060979888,,,0.0,732,7444,7990.0,12748,5500,crab_roi_local,dec_sideband,False,False,direct_expectation
23,"[200,300)","[4.25,4.5)",26813,7019,19794,1727,0.3997685185185185,43.47639258630079,0.0,0.007138026632088456,1.7472426891326904,1.1058497428894043,0.5253807306289673,339.5146574440053,,,0.0,952,6512,2330.0,4320,1954,crab_roi_local,dec_sideband,False,False,direct_expectation
24,"[200,300)","[4.5,4.75)",9558,2345,7213,627,0.46410066617320506,43.47639258630079,0.0,0.002544484337802613,1.9039727449417114,1.2050460577011108,0.44638746976852417,133.6521303258145,,,0.0,1148,5808,633.0,1351,698,crab_roi_local,dec_sideband,False,False,direct_expectation
25,"[200,300)","[4.75,5.0)",3458,745,2713,223,0.5588972431077694,43.47639258630079,0.0,0.0009205719648589073,2.1119091510772705,1.3366514444351196,0.35407647490501404,30.43210784313725,,,0.0,1396,4772,147.0,399,240,crab_roi_local,dec_sideband,False,False,direct_expectation
26,"[200,300)",>=5,1982,407,1575,126,0.63,43.47639258630079,0.0,0.0005276384136351516,2.2745697498321533,1.439601182937622,0.19602903723716736,18.717948717948715,,,0.0,1632,3876,58.0,200,145,crab_roi_local,dec_sideband,False,False,direct_expectation
27,"[300,500)","[2,3)",689890,282299,407591,24975,0.119868684396193,43.47639258630079,0.0,0.183659165077071,0.4216392934322357,0.26686030626296997,0.5843270421028137,985.7567567567567,,,0.0,52,9100,166476.0,208353,72715,crab_roi_local,dec_sideband,False,False,direct_expectation
