cell_id,nhit_bin,predE_bin,input_files,events,logE_range_events,valid_events,positive_baseline_weight_events,sumw_baseline,effective_events,core_fit_events,core_fit_effective_events,core_fit_weight_fraction,tail_weight_fraction_above_core_fit,theta_missing_crab_probability_mass,sigma_deg,sigma_mc_weight_deg,sigma_unweighted_deg,sigma_full_rayleigh_deg,r_opt_deg,containment_r_opt,r68_deg,r90_deg,r95_deg,containment_warning,angle_check_warning
51,"[800,1100)","[3,3.25)",1034,1093,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
52,"[800,1100)","[3.25,3.5)",7898,15783,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
53,"[800,1100)","[3.5,3.75)",9593,32787,32730,32730,30889,10160697.916025624,250.3833288885589,30814,4001.834261293368,0.8987827537539936,0.10121724624600636,0.0415942288007539,0.16606973789629856,0.15728490306019818,0.15727956914786612,10.690854637999289,0.2623901858761517,0.6558086645554998,0.27043143536035497,33.330012300885734,45.972280894074416,False,False
54,"[800,1100)","[3.75,4.0)",8931,22615,22352,22350,21913,6552717.878257751,1982.3738631325261,21606,2931.122482905196,0.9500441076731629,0.04995589232683706,0.0,0.18275133777075298,0.17086253284845743,0.17205157032331878,6.297570943352082,0.2887471136777897,0.7585143919536033,0.255706746646433,0.40168259553490676,2.264376638341961,False,False
55,"[800,1100)","[4.0,4.25)",5879,9020,8912,8901,8847,2025551.7703781128,1886.93936541089,8743,2101.5659979516886,0.9341335455332344,0.06586645446676564,0.0,0.3470970199906588,0.2027358029088864,0.20373208337450266,6.555434325985411,0.5484132915852409,0.8428000481274173,0.29942360313730465,1.4381837751801034,23.627972279801348,True,False
56,"[800,1100)","[4.25,4.5)",2450,2841,2820,2804,2785,474869.18254852295,539.6616480399655,2757,694.8765316158788,0.898926643309924,0.101073356690076,0.0,0.6470542024453781,0.3200011414934823,0.35785271059224727,6.294459024324985,1.0223456398636974,0.6555841655569256,1.091219815882812,3.225658844330976,27.32387425343638,False,False
57,"[800,1100)","[4.5,4.75)",1212,1287,1287,1279,1257,135384.8256444931,671.0874682714087,1242,675.6772892181444,0.9694680498366182,0.030531950163381838,0.0,0.7810114205050338,0.655485714372583,0.6933586565672588,3.191594725683902,1.2339980443979535,0.6998877088617667,1.1858591438910069,1.9436392765498136,2.3551911586254413,False,False
58,"[800,1100)","[4.75,5.0)",1373,1482,1482,1479,1459,87549.98401069641,619.013113170404,1407,615.3323139265291,0.9293474931784544,0.07065250682154556,0.0,0.9543566130658067,0.8801827229796501,0.8828646073311861,3.571225648246399,1.5078834486439745,0.6749189647489252,1.5126304120050664,2.5427605191955855,3.444272633297166,False,False
59,"[800,1100)","[5,6)",5467,8235,8235,8083,8000,147658.02135562897,1747.0210642923207,6632,1518.9370673055466,0.8394684044415781,0.1605315955584219,0.0,1.1021319205157003,1.0691402248670356,1.1466377843427682,1.7065542103031337,1.7413684344148066,0.5813571771280265,2.118046949834959,3.730346831761192,4.917539585223288,True,False
60,"[800,1100)",>=6,71,71,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
