tau,npts,chi2,ndof,chi2_ndof,max_abs_pull,max_overlap,group_index,nhit,cells,predE,E50,p16,p84,sigma68,excess,err,model,pull,obs_model_ratio
0.45,15,54.64475209554427,12,4.553729341295356,4.199749360956493,0.4228583949262592,3,"[200,300)",14;15,"[2.5,3)..[3,3.25)",0.6929635481404217,0.4018300178098392,1.135541028002143,0.22558022681302226,3659.502764741689,162.0940999396903,3537.9742738775117,0.7497403724712626,1.034349738425595
0.45,15,54.64475209554427,12,4.553729341295356,4.199749360956493,0.4228583949262592,4,"[200,300)",16,"[3.25,3.5)",1.745690475523506,1.0996494821568878,2.6621752690168052,0.191991185289901,414.3934613762758,73.63155939285629,248.67859753186286,2.2505956034456953,1.6663816890119791
0.45,15,54.64475209554427,12,4.553729341295356,4.199749360956493,0.4228583949262592,5,"[300,500)",26;27,"[2.5,3)..[3,3.25)",0.9730250303661069,0.6029138298940203,1.4789636468039842,0.19485112653964798,2347.4045565321944,86.33999909351289,2386.484203214462,-0.45262505319164203,0.9836245944433114
0.45,15,54.64475209554427,12,4.553729341295356,4.199749360956493,0.4228583949262592,6,"[300,500)",28;29,"[3.25,3.5)..[3.5,3.75)",1.9407546888949936,1.293695730435672,2.9628253525026715,0.17993695366993046,1132.543274165495,66.74920767945119,888.5556709770505,3.655288379753402,1.2745889888026456
0.45,15,54.64475209554427,12,4.553729341295356,4.199749360956493,0.4228583949262592,7,"[300,500)",30,"[3.75,4.0)",5.198551667715338,3.061372893434971,8.056720123706725,0.21012102240389585,105.27744444227983,40.947802817217436,64.10950991074291,1.0053759102851525,1.6421501987591758
0.45,15,54.64475209554427,12,4.553729341295356,4.199749360956493,0.4228583949262592,8,"[500,800)",40;41,"[3.25,3.5)..[3.5,3.75)",2.350555519025096,1.5877814746105643,3.4556351765856563,0.1688685778641441,1121.569821253116,48.0253076902885,1155.5430005444896,-0.7074015956433624,0.9705998138750653
0.45,15,54.64475209554427,12,4.553729341295356,4.199749360956493,0.4228583949262592,9,"[500,800)",42,"[3.75,4.0)",4.92505376794929,3.2153920609880586,7.305780741001346,0.17821634951131093,79.48698952925884,19.9126344432559,93.40435689476998,-0.6989214513614865,0.8509987346608409
0.45,15,54.64475209554427,12,4.553729341295356,4.199749360956493,0.4228583949262592,10,"[800,1100)",52;53,"[3.25,3.5)..[3.5,3.75)",3.531790922435416,2.4856090153363892,4.981613660910575,0.1509686141122506,349.6078118405384,23.630323488252582,374.4573865186764,-1.0515968895005425,0.9336384443923939
0.45,15,54.64475209554427,12,4.553729341295356,4.199749360956493,0.4228583949262592,11,"[800,1100)",54;55,"[3.75,4.0)..[4.0,4.25)",6.20747793335945,4.483390547037468,8.910285168502023,0.14914251590192396,163.90741082684397,18.71076131997723,120.32741154007812,2.32914089071491,1.3621784822675291
0.45,15,54.64475209554427,12,4.553729341295356,4.199749360956493,0.4228583949262592,12,"[1100,2000)",65,"[3.5,3.75)",5.415551238287147,4.134692760850699,7.198960676425248,0.12041327879039354,44.923352982363944,7.942080773804561,78.2781016368145,-4.199749360956493,0.5738942570528092
