selector,containment_mode,nhit_bin,cells,N_on,B_on,excess,official_expected_counts,observed_over_expected,N_on_over_B_on,expected_over_all_direction_c1
positive_excess_all84,containment_1,"[1100,2000)",5,368.0,86.56091728728576,281.43908271271425,351.52223482702345,0.8006295330114875,4.251341269624606,1.0
positive_excess_all84,aperture_response_containment_1,"[1100,2000)",5,368.0,86.56091728728576,281.43908271271425,274.5991910630405,1.0249086372876586,4.251341269624606,0.7811716126525108
positive_excess_all84,nominal_containment,"[2000,3000)",5,70.0,50.713835414049775,19.286164585950225,13.935374832190224,1.3839717135846152,1.3802939459910615,0.7463189119107332
positive_excess_all84,containment_1,"[2000,3000)",5,70.0,50.713835414049775,19.286164585950225,18.67214485629573,1.032884263397703,1.3802939459910615,1.0
positive_excess_all84,aperture_response_containment_1,"[2000,3000)",5,70.0,50.713835414049775,19.286164585950225,16.33424528986671,1.1807196625065253,1.3802939459910615,0.8747921256812259
active30,nominal_containment,all,30,111204.0,95670.39941512098,15533.600584879026,10925.098601889915,1.4218270379904758,1.162365796315719,0.644893602252015
active30,containment_1,all,30,111204.0,95670.39941512098,15533.600584879026,16940.931905261088,0.9169271603089906,1.162365796315719,1.0
active30,aperture_response_containment_1,all,30,111204.0,95670.39941512098,15533.600584879026,13362.154826602442,1.1625071544563679,1.162365796315719,0.7887496922440708
active30,nominal_containment,"[125,200)",4,78616.0,73172.98413659741,5443.015863402573,3684.400102246001,1.477314002918555,1.0743855936398836,0.628988091365159
active30,containment_1,"[125,200)",4,78616.0,73172.98413659741,5443.015863402573,5857.662732929268,0.9292129150427647,1.0743855936398836,1.0
active30,aperture_response_containment_1,"[125,200)",4,78616.0,73172.98413659741,5443.015863402573,4534.224421158232,1.2004293034115407,1.0743855936398836,0.7740671711378613
active30,nominal_containment,"[200,300)",4,20326.0,16146.642921380924,4179.357078619075,2781.055156207994,1.5027954657029112,1.25883752424381,0.6648390054384915
active30,containment_1,"[200,300)",4,20326.0,16146.642921380924,4179.357078619075,4183.050533224599,0.9991170427953981,1.25883752424381,1.0
active30,aperture_response_containment_1,"[200,300)",4,20326.0,16146.642921380924,4179.357078619075,3376.7769837099313,1.2376763697398163,1.25883752424381,0.8072522569089946
active30,nominal_containment,"[300,500)",5,8586.0,5000.774724860032,3585.225275139969,2506.7238217863387,1.4302434292841522,1.716933969714126,0.6366077879144397
active30,containment_1,"[300,500)",5,8586.0,5000.774724860032,3585.225275139969,3937.6266979053094,0.9105041056957466,1.716933969714126,1.0
active30,aperture_response_containment_1,"[300,500)",5,8586.0,5000.774724860032,3585.225275139969,3124.833953150042,1.1473330515772917,1.716933969714126,0.7935830877041627
active30,nominal_containment,"[500,800)",5,2559.0,1044.405848882752,1514.5941511172482,1247.827823234303,1.213784564597623,2.450196925589298,0.6269827152305539
active30,containment_1,"[500,800)",5,2559.0,1044.405848882752,1514.5941511172482,1990.2108828876599,0.7610219420163534,2.450196925589298,1.0
active30,aperture_response_containment_1,"[500,800)",5,2559.0,1044.405848882752,1514.5941511172482,1555.8262456839468,0.9734982651944062,2.450196925589298,0.7817393920721353
active30,nominal_containment,"[800,1100)",4,711.0,197.48477733261765,513.5152226673823,437.4865444423602,1.1737851808035187,3.6002774978573875,0.7178864646923739
active30,containment_1,"[800,1100)",4,711.0,197.48477733261765,513.5152226673823,609.4091001281523,0.8426444937553369,3.6002774978573875,1.0
active30,aperture_response_containment_1,"[800,1100)",4,711.0,197.48477733261765,513.5152226673823,486.78220804459943,1.054917813718314,3.6002774978573875,0.7987773860650165
active30,nominal_containment,"[1100,2000)",5,368.0,86.56091728728576,281.43908271271425,258.81921413236535,1.087396403919149,4.251341269624606,0.736281203548119
active30,containment_1,"[1100,2000)",5,368.0,86.56091728728576,281.43908271271425,351.52223482702345,0.8006295330114875,4.251341269624606,1.0
active30,aperture_response_containment_1,"[1100,2000)",5,368.0,86.56091728728576,281.43908271271425,274.5991910630405,1.0249086372876586,4.251341269624606,0.7811716126525108
