source_file_id,status,yyyymm,relative_path,obs_path,time_path,event_entries,time_entries,common_entries,entry_mismatch,selected_rows,parquet_relative_path,matched_mjd_min,matched_mjd_max,matched_mjd_start_utc_yyyymm,matched_mjd_end_utc_yyyymm,matched_span_seconds,matched_gap_count,matched_gap_seconds,rough_live_time_seconds,selected_mjd_min,selected_mjd_max
802,processed,202202,0207/Esg20220207_10.root,/mnt/mydisk/WCDA_observation_eval/0207/Esg20220207_10.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0207/Esg20220207_10.time.root,6747,6747,6747,False,4525,obs_events/yyyymm=202202/part-000802.parquet,59617.1101773,59617.1208603,202202,202202,923.008277477,3,240.630702954,682.377574523,59617.1101773,59617.1208603
803,processed,202202,0207/Esg20220207_14.root,/mnt/mydisk/WCDA_observation_eval/0207/Esg20220207_14.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0207/Esg20220207_14.time.root,16818,16818,16818,False,11172,obs_events/yyyymm=202202/part-000803.parquet,59617.2656917,59617.291266,202202,202202,2209.62384457,0,0,2209.62384457,59617.2656917,59617.291266
804,processed,202202,0207/Esg20220207_15.root,/mnt/mydisk/WCDA_observation_eval/0207/Esg20220207_15.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0207/Esg20220207_15.time.root,25721,25721,25721,False,17046,obs_events/yyyymm=202202/part-000804.parquet,59617.2917154,59617.3332226,202202,202202,3586.22303205,8,628.449139791,2957.77389226,59617.2917154,59617.3332226
805,processed,202202,0207/Esg20220207_16.root,/mnt/mydisk/WCDA_observation_eval/0207/Esg20220207_16.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0207/Esg20220207_16.time.root,25873,25873,25873,False,17060,obs_events/yyyymm=202202/part-000805.parquet,59617.3336706,59617.374793,202202,202202,3552.97619468,6,510.70210319,3042.27409149,59617.3336706,59617.374793
806,processed,202202,0207/Esg20220207_17.root,/mnt/mydisk/WCDA_observation_eval/0207/Esg20220207_17.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0207/Esg20220207_17.time.root,26862,26862,26862,False,17738,obs_events/yyyymm=202202/part-000806.parquet,59617.3752301,59617.4165175,202202,202202,3567.23502462,5,394.877324067,3172.35770056,59617.3752301,59617.4165175
807,processed,202202,0207/Esg20220207_18.root,/mnt/mydisk/WCDA_observation_eval/0207/Esg20220207_18.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0207/Esg20220207_18.time.root,38552,38552,38552,False,25887,obs_events/yyyymm=202202/part-000807.parquet,59617.4169604,59617.4581458,202202,202202,3558.42052619,6,476.266418793,3082.1541074,59617.4169604,59617.4581458
808,processed,202202,0207/Esg20220207_19.root,/mnt/mydisk/WCDA_observation_eval/0207/Esg20220207_19.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0207/Esg20220207_19.time.root,80442,80442,80442,False,54596,obs_events/yyyymm=202202/part-000808.parquet,59617.4585999,59617.499642,202202,202202,3546.03609829,2,159.118084959,3386.91801333,59617.4585999,59617.499642
809,processed,202202,0207/Esg20220207_20.root,/mnt/mydisk/WCDA_observation_eval/0207/Esg20220207_20.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0207/Esg20220207_20.time.root,180873,180873,180873,False,119777,obs_events/yyyymm=202202/part-000809.parquet,59617.5000888,59617.541259,202202,202202,3557.10738203,6,473.408091534,3083.6992905,59617.5000888,59617.541259
810,processed,202202,0207/Esg20220207_21.root,/mnt/mydisk/WCDA_observation_eval/0207/Esg20220207_21.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0207/Esg20220207_21.time.root,341491,341491,341491,False,215251,obs_events/yyyymm=202202/part-000810.parquet,59617.5416864,59617.5830862,202202,202202,3576.94919945,6,464.415095653,3112.5341038,59617.5416864,59617.5830862
811,processed,202202,0207/Esg20220207_22.root,/mnt/mydisk/WCDA_observation_eval/0207/Esg20220207_22.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0207/Esg20220207_22.time.root,250733,250733,250733,False,162702,obs_events/yyyymm=202202/part-000811.parquet,59617.5834912,59617.6245318,202202,202202,3545.91029556,6,473.714916338,3072.19537923,59617.5834912,59617.6245318
812,processed,202202,0207/Esg20220207_23.root,/mnt/mydisk/WCDA_observation_eval/0207/Esg20220207_23.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0207/Esg20220207_23.time.root,115371,115371,115371,False,78587,obs_events/yyyymm=202202/part-000812.parquet,59617.6249491,59617.6665439,202202,202202,3593.79709011,8,642.315116432,2951.48197368,59617.6249491,59617.6665439
