scope,yyyymm,source_file_id,cell_id,nhit_bin,predE_bin,count
file,202201,1,59,"[1100,2000)","[4.75,5.0)",2
file,202201,1,60,"[1100,2000)",>=5,1
file,202201,1,61,"[2000,3000)","[4.0,4.25)",2
file,202201,1,62,"[2000,3000)","[4.25,4.5)",1
file,202201,1,63,"[2000,3000)","[4.5,4.75)",6
file,202201,1,64,"[2000,3000)","[4.75,5.0)",21
file,202201,1,65,"[2000,3000)",>=5,22
file,202201,2,1,"[30,60)","[2,3)",5500
file,202201,2,2,"[60,100)","[2,3)",13448
file,202201,2,3,"[60,100)","[3,3.25)",1165
file,202201,2,4,"[60,100)","[3.25,3.5)",611
file,202201,2,5,"[60,100)","[3.5,3.75)",249
file,202201,2,6,"[60,100)","[3.75,4.0)",147
file,202201,2,7,"[100,200)","[2,3)",17725
file,202201,2,8,"[100,200)","[3,3.25)",4815
file,202201,2,9,"[100,200)","[3.25,3.5)",2407
file,202201,2,10,"[100,200)","[3.5,3.75)",1061
file,202201,2,11,"[100,200)","[3.75,4.0)",478
file,202201,2,12,"[100,200)","[4.0,4.25)",195
file,202201,2,13,"[100,200)","[4.25,4.5)",72
file,202201,2,14,"[100,200)","[4.5,4.75)",36
file,202201,2,15,"[100,200)","[4.75,5.0)",15
file,202201,2,16,"[100,200)",>=5,16
file,202201,2,17,"[200,300)","[2,3)",2013
file,202201,2,18,"[200,300)","[3,3.25)",2079
file,202201,2,19,"[200,300)","[3.25,3.5)",1494
file,202201,2,20,"[200,300)","[3.5,3.75)",670
file,202201,2,21,"[200,300)","[3.75,4.0)",279
file,202201,2,22,"[200,300)","[4.0,4.25)",108
file,202201,2,23,"[200,300)","[4.25,4.5)",36
file,202201,2,24,"[200,300)","[4.5,4.75)",10
file,202201,2,25,"[200,300)","[4.75,5.0)",8
file,202201,2,26,"[200,300)",>=5,2
file,202201,2,27,"[300,500)","[2,3)",252
file,202201,2,28,"[300,500)","[3,3.25)",923
file,202201,2,29,"[300,500)","[3.25,3.5)",1223
file,202201,2,30,"[300,500)","[3.5,3.75)",755
file,202201,2,31,"[300,500)","[3.75,4.0)",266
file,202201,2,32,"[300,500)","[4.0,4.25)",79
file,202201,2,33,"[300,500)","[4.25,4.5)",39
file,202201,2,34,"[300,500)","[4.5,4.75)",16
file,202201,2,35,"[300,500)","[4.75,5.0)",5
file,202201,2,36,"[300,500)",>=5,2
file,202201,2,37,"[500,800)","[3,3.25)",51
file,202201,2,38,"[500,800)","[3.25,3.5)",312
file,202201,2,39,"[500,800)","[3.5,3.75)",467
file,202201,2,40,"[500,800)","[3.75,4.0)",239
file,202201,2,41,"[500,800)","[4.0,4.25)",57
file,202201,2,42,"[500,800)","[4.25,4.5)",16
file,202201,2,43,"[500,800)","[4.5,4.75)",3
file,202201,2,44,"[500,800)","[4.75,5.0)",3
file,202201,2,45,"[500,800)",>=5,0
file,202201,2,46,"[800,1100)","[3.25,3.5)",16
file,202201,2,47,"[800,1100)","[3.5,3.75)",100
file,202201,2,48,"[800,1100)","[3.75,4.0)",118
file,202201,2,49,"[800,1100)","[4.0,4.25)",39
file,202201,2,50,"[800,1100)","[4.25,4.5)",15
file,202201,2,51,"[800,1100)","[4.5,4.75)",0
file,202201,2,52,"[800,1100)","[4.75,5.0)",0
file,202201,2,53,"[800,1100)",>=5,0
file,202201,2,54,"[1100,2000)","[3.5,3.75)",9
file,202201,2,55,"[1100,2000)","[3.75,4.0)",31
file,202201,2,56,"[1100,2000)","[4.0,4.25)",48
file,202201,2,57,"[1100,2000)","[4.25,4.5)",36
file,202201,2,58,"[1100,2000)","[4.5,4.75)",16
file,202201,2,59,"[1100,2000)","[4.75,5.0)",8
file,202201,2,60,"[1100,2000)",>=5,1
file,202201,2,61,"[2000,3000)","[4.0,4.25)",0
file,202201,2,62,"[2000,3000)","[4.25,4.5)",1
file,202201,2,63,"[2000,3000)","[4.5,4.75)",2
file,202201,2,64,"[2000,3000)","[4.75,5.0)",3
file,202201,2,65,"[2000,3000)",>=5,32
file,202201,3,1,"[30,60)","[2,3)",6031
file,202201,3,2,"[60,100)","[2,3)",14498
file,202201,3,3,"[60,100)","[3,3.25)",1177
file,202201,3,4,"[60,100)","[3.25,3.5)",569
file,202201,3,5,"[60,100)","[3.5,3.75)",315
file,202201,3,6,"[60,100)","[3.75,4.0)",143
file,202201,3,7,"[100,200)","[2,3)",18717
file,202201,3,8,"[100,200)","[3,3.25)",4453
file,202201,3,9,"[100,200)","[3.25,3.5)",2174
file,202201,3,10,"[100,200)","[3.5,3.75)",952
file,202201,3,11,"[100,200)","[3.75,4.0)",444
file,202201,3,12,"[100,200)","[4.0,4.25)",171
file,202201,3,13,"[100,200)","[4.25,4.5)",64
file,202201,3,14,"[100,200)","[4.5,4.75)",27
file,202201,3,15,"[100,200)","[4.75,5.0)",11
file,202201,3,16,"[100,200)",>=5,11
file,202201,3,17,"[200,300)","[2,3)",2440
file,202201,3,18,"[200,300)","[3,3.25)",2002
file,202201,3,19,"[200,300)","[3.25,3.5)",1342
file,202201,3,20,"[200,300)","[3.5,3.75)",540
file,202201,3,21,"[200,300)","[3.75,4.0)",238
file,202201,3,22,"[200,300)","[4.0,4.25)",104
