cell_id,nhit_bin,predE_bin,selected_events,grid_events,out_of_grid_events,source_masked_events,source_masked_fraction,live_time_days,median_rate_hz,mean_rate_hz,r_opt_deg,sigma_deg,containment_r_opt,B_on,N_off,alpha,max_p_on,on_pixels,off_pixels,off_counts,fiducial_events,edge_diagnostic_events,background_mode,background_method,r_opt_large_warning,r_opt_extreme_warning,background_form,annulus_inner_deg,annulus_outer_deg,surface_fit_chi2,surface_fit_ndof,surface_condition_number,annulus_residual_rms
58,"[800,1100)","[4.75,5.0)",74,22,52,6,0.42857142857142855,43.47639258630079,0.0,1.9699920589808888e-05,1.4706326723098755,0.9307801723480225,0.6651483774185181,0.0,,,0.0,680,5648,7.0,14,6,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,6.9783928847155074,5642,65.46315528356043,0.03514870899361233
59,"[800,1100)","[5,6)",15,6,9,3,0.75,43.47639258630079,0.0,3.993227146582883e-06,1.7527832984924316,1.1093565225601196,0.5799309611320496,0.0001435879414323039,,,0.0,960,6280,1.0,4,2,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.0,6.0,0.9990873276912968,6274,87.07609750157623,0.012612703673807986
60,"[800,1100)",>=6,0,0,0,0,0.0,43.47639258630079,0.0,0.0,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
61,"[1100,2000)","[2,2.5)",0,0,0,0,0.0,43.47639258630079,0.0,0.0,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
62,"[1100,2000)","[2.5,3)",0,0,0,0,0.0,43.47639258630079,0.0,0.0,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
63,"[1100,2000)","[3,3.25)",6,4,2,2,0.6666666666666666,43.47639258630079,0.0,1.5972908586331531e-06,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,3,1,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
64,"[1100,2000)","[3.25,3.5)",784,308,476,65,0.28761061946902655,43.47639258630079,0.0,0.000208712672194732,1.5800000429153442,1.0,0.7129790186882019,23.053256613066907,,,0.0,788,5648,120.0,226,82,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,116.97693106388594,5642,65.46315528356043,0.14391390831695858
65,"[1100,2000)","[3.5,3.75)",10999,4378,6621,927,0.28708578507277793,43.47639258630079,0.0,0.0029281003590176753,1.5800000429153442,1.0,0.7129790186882019,196.64883716770714,,,0.0,788,5648,1589.0,3229,1136,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,1239.2598510675293,5642,65.44755838361655,0.5301073491898856
66,"[1100,2000)","[3.75,4.0)",25935,10073,15862,575,0.07789217014359252,43.47639258630079,0.0,0.006904289736441804,0.2172287553548813,0.1374865472316742,0.7136972546577454,8.191962214610882,,,0.0,16,3760,2437.0,7382,2660,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,1514.7809476218313,3754,23.30231307332376,0.8148623355600653
67,"[1100,2000)","[4.0,4.25)",23334,8532,14802,426,0.06824735661646908,43.47639258630079,0.0,0.006211864149224333,0.23240472376346588,0.1470915973186493,0.7426062822341919,7.219754502170144,,,0.0,16,3760,2005.0,6242,2264,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,1348.4071295234548,3754,23.27467899856863,0.7516679405727188
68,"[1100,2000)","[4.25,4.5)",12665,4530,8135,236,0.07129909365558912,43.47639258630079,0.0,0.003371614787431481,0.29243433475494385,0.1850850135087967,0.8714531660079956,7.823137858528607,,,0.0,32,3760,1091.0,3310,1209,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,846.1354337111582,3754,23.32053435910821,0.5387691357190032
69,"[1100,2000)","[4.5,4.75)",5004,1661,3343,85,0.07013201320132013,43.47639258630079,0.0,0.0013321405761000497,0.5586923360824585,0.35360273718833923,0.7991706728935242,7.088109537776582,,,0.0,96,3760,410.0,1212,444,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,370.26864210413856,3754,23.316284766932547,0.3337793528822495
70,"[1100,2000)","[4.75,5.0)",1917,611,1306,116,0.2672811059907834,43.47639258630079,0.0,0.0005103344293332924,1.5800000429153442,1.0,0.7129790186882019,43.01540033350068,,,0.0,788,5648,227.0,434,177,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,217.62570507791617,5642,65.46315528356043,0.1962943284041944
71,"[1100,2000)","[5,6)",837,230,607,48,0.3037974683544304,43.47639258630079,0.0,0.00022282207477932487,1.5800000429153442,1.0,0.7129790186882019,12.254541883622917,,,0.0,788,5648,74.0,158,72,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,73.02253855585835,5642,65.46264861699204,0.11674227992037702
72,"[1100,2000)",>=6,0,0,0,0,0.0,43.47639258630079,0.0,0.0,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
73,"[2000,3000)","[2,2.5)",0,0,0,0,0.0,43.47639258630079,0.0,0.0,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,0,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
