cell_id,nhit_bin,predE_bin,input_files,events,logE_range_events,valid_events,positive_baseline_weight_events,sumw_baseline,effective_events,core_fit_events,core_fit_effective_events,core_fit_weight_fraction,tail_weight_fraction_above_core_fit,theta_missing_crab_probability_mass,sigma_deg,sigma_mc_weight_deg,sigma_unweighted_deg,sigma_full_rayleigh_deg,r_opt_deg,containment_r_opt,r68_deg,r90_deg,r95_deg,containment_warning,angle_check_warning
63,"[1100,2000)","[3,3.25)",16,16,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
64,"[1100,2000)","[3.25,3.5)",1453,1565,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
65,"[1100,2000)","[3.5,3.75)",6624,10960,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
66,"[1100,2000)","[3.75,4.0)",9047,23726,23680,23680,22083,5618031.914395414,994.2424408375106,22037,1235.236506999723,0.9825379264713318,0.017462073528668243,0.06239134320113085,0.13748655442315263,0.13374986451743948,0.13339055914067946,3.6201926855024804,0.21722875598858116,0.7136972272159209,0.20665187711035754,0.31004459471692547,0.3531238173442495,False,False
67,"[1100,2000)","[4.0,4.25)",9053,23998,23913,23910,22865,4772373.0585279465,1111.664936728985,22748,2819.3284467680505,0.9510090099111354,0.04899099008886465,0.0,0.14709159317501042,0.14283578256582227,0.1397822541316011,6.654142958594216,0.23240471721651643,0.7426062698757154,0.2090586247277141,0.33048645618575845,1.422548686509028,False,False
68,"[1100,2000)","[4.25,4.5)",7320,13380,13313,13311,13076,2242872.910873413,4260.2778999313,12992,4295.159354733951,0.9785293817001623,0.02147061829983765,0.0,0.1850850177649825,0.15546076962237174,0.15379758882974542,3.4548601919038044,0.29243432806867237,0.8714531932181706,0.20760113281253545,0.3154477067148893,0.39993354288947086,True,False
69,"[1100,2000)","[4.5,4.75)",4265,5650,5590,5582,5557,706003.1343078613,556.9099524217304,5466,559.9262407103619,0.8652096136662681,0.13479038633373186,0.0,0.3536027467384327,0.17679208747200217,0.17411966361035552,8.808602862620807,0.5586923398467237,0.799170672437716,0.2627982913432029,19.196061316022515,36.285088679933416,False,False
70,"[1100,2000)","[4.75,5.0)",1484,1641,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
71,"[1100,2000)","[5,6)",859,910,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
72,"[1100,2000)",>=6,4,4,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
73,"[2000,3000)","[2,2.5)",0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
74,"[2000,3000)","[2.5,3)",0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
