label,mode,fraction,cell_id,nhit_bin,predE_bin,excess,model,pull
left_0.05,left,0.05,30,"[300,500)","[3.75,4.0)",105.27744444227983,68.75179574300984,0.8920050939561512
left_0.05,left,0.05,40,"[500,800)","[3.25,3.5)",758.121180063778,788.8202737348774,-0.779285599680255
left_0.05,left,0.05,41,"[500,800)","[3.5,3.75)",363.4486411893382,406.25742664241403,-1.5584343198828254
left_0.05,left,0.05,42,"[500,800)","[3.75,4.0)",79.48698952925884,105.38521491607372,-1.3005926192546668
left_0.05,left,0.05,52,"[800,1100)","[3.25,3.5)",142.15595782924356,149.6402417790199,-0.5216522744304943
left_0.05,left,0.05,53,"[800,1100)","[3.5,3.75)",207.45185401129478,218.7486402706551,-0.6016524564785184
left_0.05,left,0.05,54,"[800,1100)","[3.75,4.0)",96.97117325892498,99.76186169321129,-0.19395275014081007
left_0.05,left,0.05,55,"[800,1100)","[4.0,4.25)",66.936237567919,22.90673178124024,3.681111645809017
left_0.05,left,0.05,65,"[1100,2000)","[3.5,3.75)",44.923352982363944,72.25223343203444,-3.4410227279240977
left_0.05,left,0.05,66,"[1100,2000)","[3.75,4.0)",110.29316035381666,96.91398089513288,1.086242769146369
left_0.05,left,0.05,67,"[1100,2000)","[4.0,4.25)",75.16262420611811,56.60047100227305,1.7631336551096046
left_0.05,left,0.05,68,"[1100,2000)","[4.25,4.5)",23.9886827604404,19.503136949230818,0.560643658759622
left_0.05,left,0.05,69,"[1100,2000)","[4.5,4.75)",27.071262409975123,3.9233666194575108,2.8727182873614465
left_0.05,left,0.05,81,"[2000,3000)","[4.5,4.75)",4.110992663272295,2.837549427247388,0.4533863189045989
left_0.05,left,0.05,82,"[2000,3000)","[4.75,5.0)",4.207423108797498,1.1645956951497354,0.7213696968556953
left_0.05,left,0.05,83,"[2000,3000)","[5,6)",8.135495447995465,0.31682249376502497,1.3435711951616138
left_0.10,left,0.1,1,"[125,200)","[2,2.5)",1117.3280891682298,1531.0230111227359,-2.031956482500305
left_0.10,left,0.1,2,"[125,200)","[2.5,3)",3656.9754303123773,3199.491064652285,1.6494195732723465
left_0.10,left,0.1,3,"[125,200)","[3,3.25)",657.0089484061609,750.0846426535975,-0.6886566986385588
left_0.10,left,0.1,14,"[200,300)","[2.5,3)",2347.257471674584,2462.064381448191,-0.8401638147500039
left_0.10,left,0.1,15,"[200,300)","[3,3.25)",1312.2452930671052,1038.336928471414,3.1415817766679015
left_0.10,left,0.1,16,"[200,300)","[3.25,3.5)",414.3934613762758,317.90129660857093,1.3104729217111557
left_0.10,left,0.1,26,"[300,500)","[2.5,3)",825.8236015369974,903.9951821409309,-1.4663018380561612
left_0.10,left,0.1,27,"[300,500)","[3,3.25)",1521.580954995197,1416.548697869642,1.5465298973296977
left_0.10,left,0.1,28,"[300,500)","[3.25,3.5)",800.4970853563786,795.8045967477942,0.09182437257980133
left_0.10,left,0.1,29,"[300,500)","[3.5,3.75)",332.0461888091163,252.08548897439638,1.8620938569005614
left_0.10,left,0.1,30,"[300,500)","[3.75,4.0)",105.27744444227983,74.80836634354279,0.7440955558652252
left_0.10,left,0.1,40,"[500,800)","[3.25,3.5)",758.121180063778,761.3341281740051,-0.08155954770667977
left_0.10,left,0.1,41,"[500,800)","[3.5,3.75)",363.4486411893382,423.62684201216797,-2.1907599685092305
left_0.10,left,0.1,42,"[500,800)","[3.75,4.0)",79.48698952925884,118.5310813010053,-1.9607697757425608
left_0.10,left,0.1,52,"[800,1100)","[3.25,3.5)",142.15595782924356,141.29291402836486,0.06015388575348832
left_0.10,left,0.1,53,"[800,1100)","[3.5,3.75)",207.45185401129478,212.6322321921051,-0.27590034779933403
left_0.10,left,0.1,54,"[800,1100)","[3.75,4.0)",96.97117325892498,104.59662147987947,-0.5299683889250452
left_0.10,left,0.1,55,"[800,1100)","[4.0,4.25)",66.936237567919,26.205178220271243,3.405343172308052
left_0.10,left,0.1,65,"[1100,2000)","[3.5,3.75)",44.923352982363944,68.32258342022058,-2.9462342557676493
left_0.10,left,0.1,66,"[1100,2000)","[3.75,4.0)",110.29316035381666,94.24843574269559,1.302655827705717
left_0.10,left,0.1,67,"[1100,2000)","[4.0,4.25)",75.16262420611811,57.923125183076856,1.6375008109757925
left_0.10,left,0.1,68,"[1100,2000)","[4.25,4.5)",23.9886827604404,21.094504304831602,0.3617403247562049
left_0.10,left,0.1,69,"[1100,2000)","[4.5,4.75)",27.071262409975123,4.615086899177229,2.786873875615666
left_0.10,left,0.1,81,"[2000,3000)","[4.5,4.75)",4.110992663272295,2.9147968626194873,0.425883773539874
left_0.10,left,0.1,82,"[2000,3000)","[4.75,5.0)",4.207423108797498,1.2645978577539359,0.697661967196383
