mode,fraction,prior_sigma,chi2,ndof,chi2_over_ndof,penalty,profile_chi2,profile_chi2_over_ndof,phi0,alpha,beta,max_abs_pull
symmetric,0.0,0.1,117.29485852619563,23,5.099776457660679,0.0,117.29485852619563,5.099776457660679,2.3678384316162437e-12,2.76152182132255,0.1453590035940586,5.537946645622887
symmetric,0.01,0.1,115.19795797217012,23,5.008606868355223,0.009999999999999998,115.20795797217012,5.009041650963918,2.373083074241491e-12,2.7638928514314256,0.14590957686986808,5.435807408654082
symmetric,0.02,0.1,113.21258528951417,23,4.9222863169353985,0.039999999999999994,113.25258528951417,4.924025447370181,2.3783038466789723e-12,2.766247798912071,0.1464731865163744,5.333294542266427
symmetric,0.03,0.1,111.34157274143375,23,4.8409379452797285,0.09,111.43157274143375,4.844850988757989,2.383500614798618e-12,2.7685856156446347,0.1470500256196543,5.2304386834230465
symmetric,0.04,0.1,109.58776708660713,23,4.764685525504658,0.15999999999999998,109.74776708660713,4.771642047243788,2.3886730755005783e-12,2.7709050765890026,0.14764019811864412,5.127273136076695
symmetric,0.05,0.1,107.95402711802686,23,4.693653352957689,0.25,108.20402711802686,4.704522918175081,2.3938208842358626e-12,2.773205837067821,0.14824415648788028,5.02382811652466
symmetric,0.06,0.1,106.44322208487333,23,4.627966177603188,0.36,106.80322208487333,4.643618351516231,2.3989361797848885e-12,2.775501749482248,0.1488694049447822,4.920108274640981
symmetric,0.07,0.1,105.05823819368021,23,4.567749486681748,0.4900000000000001,105.5482381936802,4.589053834507835,2.404095380922709e-12,2.7778493065110026,0.14956508779654967,4.815817629042683
symmetric,0.08,0.1,103.80190916877153,23,4.513126485598762,0.6399999999999999,104.44190916877153,4.540952572555284,2.409090675739418e-12,2.77996074115502,0.15012526238862836,4.712336473588254
symmetric,0.09,0.1,102.67716179188575,23,4.464224425734163,0.8099999999999998,103.48716179188575,4.499441817038511,2.4141552321301438e-12,2.7821773444853144,0.1507902000873271,4.608093532263541
symmetric,0.1,0.1,101.68686466801219,23,4.421168029044009,1.0,102.68686466801219,4.464646289913573,2.4192065813419273e-12,2.7844621432409973,0.15152304234468533,4.503407489150897
symmetric,0.11,0.1,100.83386803755972,23,4.384081219024336,1.2099999999999997,102.04386803755972,4.436689914676509,2.4242070239448347e-12,2.78663559205133,0.1522187901369354,4.399028831283595
symmetric,0.12,0.1,100.12103337534744,23,4.353088407623802,1.44,101.56103337534744,4.415697103275975,2.429152479880517e-12,2.788738838520405,0.15289943125525002,4.294848310830845
symmetric,0.13,0.1,99.55121826263013,23,4.328313837505658,1.6900000000000002,101.24121826263013,4.401792098375223,2.4340900095176433e-12,2.790837257259851,0.15361283332228282,4.190608147246324
symmetric,0.14,0.1,99.12724767475453,23,4.30988033368498,1.9600000000000004,101.08724767475452,4.395097724989327,2.4389967564302066e-12,2.7929027977147745,0.1543400069402983,4.086495070695093
symmetric,0.15,0.1,98.85194150412917,23,4.297910500179529,2.2499999999999996,101.10194150412917,4.395736587136051,2.443897139046065e-12,2.795029420241901,0.15513457127267644,3.9821218881604596
symmetric,0.16,0.1,98.7280596540458,23,4.2925243327846,2.5599999999999996,101.2880596540458,4.403828680610687,2.4487468702887406e-12,2.7970345382961783,0.15589164483782245,3.8783105116671193
symmetric,0.17,0.1,98.75836886862736,23,4.293842124722929,2.8899999999999997,101.64836886862736,4.419494298635972,2.4535695594278574e-12,2.799003270821475,0.15666417810387925,3.774770161701417
symmetric,0.18,0.1,98.94558781569705,23,4.30198207894335,3.2399999999999993,102.18558781569705,4.442851644160741,2.458306058245566e-12,2.8008745174490395,0.15741367483662616,3.6719565854684144
symmetric,0.19,0.1,99.29241104396453,23,4.317061349737588,3.61,102.90241104396453,4.474017871476719,2.4631012157548052e-12,2.802844853461468,0.15825375273743528,3.5686103435628547
symmetric,0.2,0.1,99.8014703827163,23,4.339194364465926,4.0,103.8014703827163,4.5131074079441875,2.467833365853392e-12,2.804731707739761,0.1590896042747541,3.5213992945114962
symmetric,0.21,0.1,100.47536475239697,23,4.368494119669434,4.409999999999998,104.88536475239697,4.560233250104216,2.4725480802749648e-12,2.8065881943629596,0.1599393136447799,3.558142619089304
symmetric,0.22,0.1,101.31669900892364,23,4.405073869953202,4.839999999999999,106.15669900892364,4.615508652561897,2.476693628757357e-12,2.808227904304663,0.1605935499657238,3.673189473590094
symmetric,0.23,0.1,102.3278722932834,23,4.449037925794931,5.289999999999999,107.6178722932834,4.679037925794931,2.4817534218826244e-12,2.809766191544379,0.16139176243891576,3.7848037864640056
symmetric,0.24,0.1,103.51125219256852,23,4.5004892257638485,5.76,109.27125219256853,4.750924008372545,2.486081523749249e-12,2.8117845358885205,0.16246519756635017,3.8923242472386024
symmetric,0.25,0.1,104.86933535826508,23,4.559536319924568,6.25,111.11933535826508,4.831275450359351,2.4909204620513853e-12,2.8135089940206637,0.1633752229553964,4.0032979877753645
symmetric,0.26,0.1,106.4044035082509,23,4.626278413402213,6.760000000000001,113.1644035082509,4.920191456880474,2.4956042538196685e-12,2.8150484276917385,0.1642717731392139,4.111332030899311
symmetric,0.27,0.1,108.11871697642079,23,4.700813781583513,7.290000000000001,115.40871697642079,5.017770303322643,2.5005252340203247e-12,2.816795247406511,0.16531794174894704,4.218808596372119
