cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,ridge_peak_fraction,fit_predE_range_flag,tail_bin_flag,psf_quality_flag,cell_role,exclusion_source
64,1,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,split56 high-energy probe excluded except preserved highest-Nhit baseline split,"[800,1100)","[5.5,6)",3211,1,0,0.09722054014775341,1,0,1,high_energy_probe,
65,1,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,diagnostic >=6 tail bin excluded from main fit,"[800,1100)",>=6,15,0,0,0.0,0,1,1,high_energy_probe,
66,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[1100,2000)","[2,2.5)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector
67,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[1100,2000)","[2.5,3)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector
68,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[1100,2000)","[3,3.25)",3,0,0,9.981368112856002e-05,1,0,1,excluded,MC_prefit_selector
69,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[1100,2000)","[3.25,3.5)",183,0,0,0.006088634548842162,1,0,1,excluded,MC_prefit_selector
70,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[1100,2000)","[3.5,3.75)",3067,1,1,0.1020428533404312,1,0,1,baseline_fit,
71,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[1100,2000)","[3.75,4.0)",15535,1,1,0.5168685121107266,1,0,1,baseline_fit,
72,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[1100,2000)","[4.0,4.25)",30056,1,1,1.0,1,0,1,baseline_fit,
73,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[1100,2000)","[4.25,4.5)",20877,1,1,0.6946034069736492,1,0,1,baseline_fit,
74,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[1100,2000)","[4.5,4.75)",8610,1,1,0.2864652648389673,1,0,1,baseline_fit,
75,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[1100,2000)","[4.75,5.0)",2279,1,0,0.07582512643066276,1,0,1,excluded,MC_prefit_selector
76,1,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,split56 high-energy probe excluded except preserved highest-Nhit baseline split,"[1100,2000)","[5,5.5)",1054,1,0,0.03506787330316742,1,0,1,high_energy_probe,
77,1,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,split56 high-energy probe excluded except preserved highest-Nhit baseline split,"[1100,2000)","[5.5,6)",186,0,0,0.006188448229970721,1,0,1,high_energy_probe,
78,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,diagnostic >=6 tail bin excluded from main fit,"[1100,2000)",>=6,0,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range
79,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[2000,3000)","[2,2.5)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector
80,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[2000,3000)","[2.5,3)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector
81,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[2000,3000)","[3,3.25)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector
82,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[2000,3000)","[3.25,3.5)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector
83,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[2000,3000)","[3.5,3.75)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector
84,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[2000,3000)","[3.75,4.0)",3,0,0,0.00040871934604904634,1,0,1,excluded,MC_prefit_selector
85,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[2000,3000)","[4.0,4.25)",417,1,0,0.05681198910081744,1,0,1,excluded,MC_prefit_selector
86,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[2000,3000)","[4.25,4.5)",2144,1,1,0.29209809264305175,1,0,1,baseline_fit,
87,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[2000,3000)","[4.5,4.75)",5114,1,1,0.6967302452316076,1,0,1,baseline_fit,
88,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[2000,3000)","[4.75,5.0)",6475,1,1,0.8821525885558583,1,0,1,baseline_fit,
89,1,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[2000,3000)","[5,5.5)",7340,1,1,1.0,1,0,1,baseline_fit,
90,1,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[2000,3000)","[5.5,6)",1049,1,1,0.14291553133514986,1,0,1,baseline_fit,
91,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,diagnostic >=6 tail bin excluded from main fit,"[2000,3000)",>=6,0,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range
