cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,ridge_peak_fraction,fit_predE_range_flag,tail_bin_flag,psf_quality_flag,cell_role,exclusion_source,split_child_gate_exception,split_child_effective_min_mc_count,split_child_default_min_mc_count,split_child_original_prefit_physical_ridge_flag,psf_systematic_variant,psf_borrowed_from,psf_borrow_method
72,1,v6_64748_split56_drop4_psfborrow,"v6 baselinev4 drop4 fit cell preserved by (nhit_bin,predE_bin)","[1100,2000)","[4.0,4.25)",23998,1,1,1.0,1,0,1,drop4_fit,,0,,,,,,
73,1,v6_64748_split56_drop4_psfborrow,"v6 baselinev4 drop4 fit cell preserved by (nhit_bin,predE_bin)","[1100,2000)","[4.25,4.5)",13380,1,1,0.6314490578622645,1,0,1,drop4_fit,,0,,,,,,
74,1,v6_64748_split56_drop4_psfborrow,"v6 baselinev4 drop4 fit cell preserved by (nhit_bin,predE_bin)","[1100,2000)","[4.5,4.75)",5650,1,1,0.2543938635984659,1,0,1,drop4_fit,,0,,,,,,
75,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[1100,2000)","[4.75,5.0)",1641,1,0,0.06816741704185426,1,0,1,excluded,MC_prefit_selector,0,,,,,,
76,0,v6_64748_split56_drop4_psfborrow,split56 high-energy probe excluded outside preserved highest-Nhit baseline split,"[1100,2000)","[5,5.5)",687,1,0,0.031949307987326994,1,0,1,high_energy_probe,high_energy_probe,0,,,,,,
77,0,v6_64748_split56_drop4_psfborrow,split56 high-energy probe excluded outside preserved highest-Nhit baseline split,"[1100,2000)","[5.5,6)",223,0,0,0.00576955144238786,1,0,1,high_energy_probe,high_energy_probe,0,,,,,,
78,0,v6_64748_split56_drop4_psfborrow,>=6 tail retained in candidate cache but excluded from fit,"[1100,2000)",>=6,4,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range,0,,,,,,
79,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[2000,3000)","[2,2.5)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector,0,,,,,,
80,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[2000,3000)","[2.5,3)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector,0,,,,,,
81,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[2000,3000)","[3,3.25)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector,0,,,,,,
82,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[2000,3000)","[3.25,3.5)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector,0,,,,,,
83,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[2000,3000)","[3.5,3.75)",4,0,0,0.0,1,0,1,excluded,MC_prefit_selector,0,,,,,,
84,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[2000,3000)","[3.75,4.0)",156,0,0,0.0013013302486986698,1,0,1,excluded,MC_prefit_selector,0,,,,,,
85,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[2000,3000)","[4.0,4.25)",1175,1,0,0.08444187391555813,1,0,1,excluded,MC_prefit_selector,0,,,,,,
86,0,v6_64748_split56_drop4_psfborrow,excluded to preserve v4 drop4 cell-selection contract for v6 comparability,"[2000,3000)","[4.25,4.5)",3127,1,1,0.33646616541353386,1,0,1,excluded,MC_prefit_selector,0,,,,,,
87,1,v6_64748_split56_drop4_psfborrow,"v6 baselinev4 drop4 fit cell preserved by (nhit_bin,predE_bin)","[2000,3000)","[4.5,4.75)",5515,1,1,0.77834008097166,1,0,1,drop4_fit,,0,,,,,,
88,1,v6_64748_split56_drop4_psfborrow,"v6 baselinev4 drop4 fit cell preserved by (nhit_bin,predE_bin)","[2000,3000)","[4.75,5.0)",5332,1,1,0.9321862348178138,1,0,1,drop4_fit,,0,,,,,,
89,1,v6_64748_split56_drop4_psfborrow,"split56 child of v6 baselinev4 [2000,3000) x [5,6) fit cell; central99/ridge-fraction gates passed with explicit split-child count threshold","[2000,3000)","[5,5.5)",6434,1,1,1.0,1,0,1,split56_drop4_fit,,0,500,1000,1,,,
90,1,v6_64748_split56_drop4_psfborrow,"split56 child of v6 baselinev4 [2000,3000) x [5,6) fit cell; central99/ridge-fraction gates passed with explicit split-child count threshold","[2000,3000)","[5.5,6)",799,1,1,0.1266628108733372,1,0,1,split56_drop4_fit,,1,500,1000,0,,,
91,0,v6_64748_split56_drop4_psfborrow,>=6 tail retained in candidate cache but excluded from fit,"[2000,3000)",>=6,0,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range,0,,,,,,
